"store_code","zd_code","zd_name","zd_complete_name","org_code","org_name","org_complete_name","st_name"
"9024","7151",閉鎖店舗,"7151 閉鎖店舗","0071",調整総合,"0071 調整総合",
"9026","7151",閉鎖店舗,"7151 閉鎖店舗","0071",調整総合,"0071 調整総合",
"9027","7151",閉鎖店舗,"7151 閉鎖店舗","0071",調整総合,"0071 調整総合",
"9028","7151",閉鎖店舗,"7151 閉鎖店舗","0071",調整総合,"0071 調整総合",
"9030","7151",閉鎖店舗,"7151 閉鎖店舗","0071",調整総合,"0071 調整総合",
"9031","7151",閉鎖店舗,"7151 閉鎖店舗","0071",調整総合,"0071 調整総合",
"9032","7151",閉鎖店舗,"7151 閉鎖店舗","0071",調整総合,"0071 調整総合",
"9033","7151",閉鎖店舗,"7151 閉鎖店舗","0071",調整総合,"0071 調整総合",
"9034","7151",閉鎖店舗,"7151 閉鎖店舗","0071",調整総合,"0071 調整総合",
"9035","7151",閉鎖店舗,"7151 閉鎖店舗","0071",調整総合,"0071 調整総合",
"9036","7151",閉鎖店舗,"7151 閉鎖店舗","0071",調整総合,"0071 調整総合",
"9037","7151",閉鎖店舗,"7151 閉鎖店舗","0071",調整総合,"0071 調整総合",
"9039","7151",閉鎖店舗,"7151 閉鎖店舗","0071",調整総合,"0071 調整総合",
"9040","7151",閉鎖店舗,"7151 閉鎖店舗","0071",調整総合,"0071 調整総合",
"9042","7151",閉鎖店舗,"7151 閉鎖店舗","0071",調整総合,"0071 調整総合",
"9043","7151",閉鎖店舗,"7151 閉鎖店舗","0071",調整総合,"0071 調整総合",
"9044","7151",閉鎖店舗,"7151 閉鎖店舗","0071",調整総合,"0071 調整総合",
"9045","7151",閉鎖店舗,"7151 閉鎖店舗","0071",調整総合,"0071 調整総合",
"9046","7151",閉鎖店舗,"7151 閉鎖店舗","0071",調整総合,"0071 調整総合",
"9050","7151",閉鎖店舗,"7151 閉鎖店舗","0071",調整総合,"0071 調整総合",
"9052","7151",閉鎖店舗,"7151 閉鎖店舗","0071",調整総合,"0071 調整総合",
"9053","7151",閉鎖店舗,"7151 閉鎖店舗","0071",調整総合,"0071 調整総合",
"9055","7151",閉鎖店舗,"7151 閉鎖店舗","0071",調整総合,"0071 調整総合",
